@RELATION games
@ATTRIBUTE queryID	string
@ATTRIBUTE queryName	string
@ATTRIBUTE recommendationCount	real
@ATTRIBUTE Steamspyowners	real
@ATTRIBUTE isFree	real
@ATTRIBUTE categorySinglePlayer	real
@ATTRIBUTE categoryMultiplayer	real
@ATTRIBUTE categoryCoop	real
@ATTRIBUTE categoryMMO	real
@ATTRIBUTE categoryInAppPurchase	real
@ATTRIBUTE categoryIncludesLevelEditor	real
@ATTRIBUTE categoryVrSupport	real
@ATTRIBUTE genreIsNongame	real
@ATTRIBUTE genreIsIndie	real
@ATTRIBUTE genreIsAction	real
@ATTRIBUTE genreIsAdventure	real
@ATTRIBUTE genreIsCasual	real
@ATTRIBUTE genreIsStrategy	real
@ATTRIBUTE genreIsRPG	real
@ATTRIBUTE genreIsSimulation	real
@ATTRIBUTE genreIsEarlyAccess	real
@ATTRIBUTE genreIsFreeToPlay	real
@ATTRIBUTE genreIsSports	real
@ATTRIBUTE genreIsRacing	real
@ATTRIBUTE genreIsMMO	real
@ATTRIBUTE priceInitial	real
@ATTRIBUTE priceFinal	real


@DATA
1530,Multiwinia,340,619832,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1600,Dangerous-Waters,112,53087,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99
1610,Space-Empires-IV-Deluxe,0,69946,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
1620,Jagged-Alliance-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99,19.99
1630,Disciples-II:-Rise-of-the-Elves,299,106175,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49
1640,Disciples-II:-Galleans-Return,400,113708,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49
1670,Iron-Warriors:-T-72-Tank-Command,210,43403,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
1690,Space-Empires-V,204,69408,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99
1700,Arx-Fatalis,389,119806,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.99,4.99
1840,Source-Filmmaker,10079,1146403,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1900,Earth-2160,412,236024,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
1930,Two-Worlds:-Epic-Edition,2399,942661,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99,9.99
2100,Dark-Messiah-of-Might-&-Magic-Single-Player,2776,966156,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99
2100,Dark-Messiah-of-Might-&-Magic-Single-Player,2776,966156,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99
2200,Quake-III-Arena,656,319063,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99
2210,Quake-4,509,173790,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99
2270,Wolfenstein-3D,1061,288035,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2280,The-Ultimate-DOOM,2000,446580,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2290,Final-DOOM,389,374123,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2300,DOOM-II:-Hell-on-Earth,1279,443890,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2310,Quake,1266,340047,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2320,Quake-II,660,318525,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2330,Quake-II:-The-Reckoning,0,279247,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99
2340,Quake-II:-Ground-Zero,0,278171,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99
2350,Quake-III:-Team-Arena,0,317987,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99
2360,HeXen:-Beyond-Heretic,158,184551,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2370,HeXen:-Deathkings-of-the-Dark-Citadel,0,178632,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2390,Heretic:-Shadow-of-the-Serpent-Riders,241,185089,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2400,The-Ship,5026,1364671,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99
2420,The-Ship-Single-Player,706,1327366,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0
2450,Bloody-Good-Time,716,116936,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2500,Shadowgrounds,973,565669,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99,6.99
2520,Gumboy:-Crazy-Adventures,0,72637,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
2520,Gumboy:-Crazy-Adventures,0,72637,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
2540,RIP,291,137920,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
2540,RIP,291,137920,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
2540,RIP,291,137920,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99
2570,Vigil:-Blood-Bitterness,129,63310,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
2590,Alpha-Prime,984,312427,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
2600,Vampire:-The-Masquerade---Bloodlines,3983,544326,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
2610,GUN,351,70664,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
2620,Call-of-Duty,851,223470,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
2630,Call-of-Duty-2,1307,340226,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
2640,Call-of-Duty:-United-Offensive,318,189034,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
2700,RollerCoaster-Tycoon-3:-Platinum!,2579,799182,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19.99,19.99
2710,Act-of-War:-Direct-Action,109,22598,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99
2720,ThreadSpace:-Hyperbol,0,26544,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9.99,9.99
2780,Arma:-Combat-Operations,181,45196,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99
2800,X2:-The-Threat,183,231540,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
2810,X3:-Reunion,280,357802,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
2820,X3:-Terran-Conflict,1262,544147,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,15.99,15.99
2840,X:-Beyond-the-Frontier,136,206611,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.99,4.99
2850,X-Tension,0,199975,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.99,4.99
2870,X-Rebirth,5637,218806,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,29.99,29.99
2900,688(I)-Hunter/Killer,0,40354,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
2910,Fleet-Command,0,40712,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
2920,Sub-Command,0,38740,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
2990,FlatOut-2,2870,417346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.99,9.99
3000,GTI-Racing,0,30669,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99,4.99
3010,Xpand-Rally,116,48245,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99,4.99
3020,Call-of-Juarez,501,104381,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
3050,Xpand-Rally-Xtreme,0,28158,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99,4.99
3130,Men-of-War:-Red-Tide,228,243198,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
3170,Kings-Bounty:-Armored-Princess,308,369998,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9.99,2.49
3200,Painkiller:-Gold-Edition,0,24033,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,2.49
3230,Genesis-Rising,103,30669,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
3260,Safecracker:-The-Ultimate-Puzzle-Adventure,321,89854,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.99,4.99
